accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2.930803,6.3042026,4.1095185,2.9963684,0.11204529,0.73353577
-2.7049704,13.076755,19.882263,1.445343,-0.6427002,1.2331543
8.730659,10.783207,12.840642,-0.2516327,-0.38171387,-1.3154907
4.508338,-5.9131827,8.973553,0.78486633,0.2116394,1.5846863
-6.19614,-7.0789666,10.494617,1.142807,1.0755768,-0.7157593
3.7898774,2.071052,7.350999,2.3193817,1.3184509,-0.65663147
1.0116562,-2.779843,7.915079,2.1244507,1.8713226,0.75964355
0.1054686,0.12026787,8.73127,1.7590637,1.4942169,0.15403748
-1.7553978,-0.3638437,10.055659,1.1715698,1.4681244,0.1716156
-2.0839214,-0.039111555,9.057082,0.93933105,0.46783447,0.21635437
0.12262903,-1.0692698,10.353027,1.1667633,0.065704346,0.48320007
0.10347602,0.65912175,9.494368,1.063446,0.5131073,0.8043823
-4.2320085,0.4092945,9.455943,0.6410675,0.8380127,0.68933105
-3.7810464,-1.2412487,13.936602,0.36941528,-0.31300354,-0.11708069
0.57444024,-2.2166123,12.5022745,-1.0745392,-0.30181885,-0.5857849
2.2194347,-3.8765144,13.749726,-3.1970825,-0.41526794,-0.7588959
3.1145506,-1.0892909,12.699142,-3.1699219,1.1197815,-0.9879303
-3.0039215,-2.6651952,11.371757,-2.6735077,-1.402771,-1.7021942
-0.573608,-0.07731229,6.6944723,-3.1299744,-3.5285034,-1.6686401
3.7628298,0.8867254,5.638211,-2.5302277,-2.869629,-1.111496
0.47485834,0.2633201,4.8956203,-0.59358215,-0.81474304,-0.026000977
1.5455298,1.8054153,3.6277359,1.3382721,-0.36253357,0.3708191
2.7693882,4.918144,3.180036,2.3651886,-0.12445068,0.58280945
-0.70898795,13.371546,20.666016,1.5513306,-0.42645264,1.1932068
5.4332542,12.1807785,8.679235,-0.625,-1.2589569,-1.6744995
4.899397,-9.832641,12.819387,0.93188477,0.23135376,1.5053253
-5.091612,-5.5243125,10.870735,-0.05987549,-0.23683167,0.037384033
0.07673441,-2.3010068,9.191169,2.21286,2.76828,0.016082764
-1.8639016,-1.3108537,7.7748327,2.4765167,2.4886475,-0.15063477
1.2909242,-1.3536814,8.2062235,1.9167175,0.3400116,0.20196533
1.0564296,-0.67969006,10.065764,1.348938,1.1991425,0.44750977
-2.9053588,-0.4177544,9.307609,1.0666351,0.7810211,0.25151062
-0.14797235,-0.16472632,10.063564,1.1151123,0.28302002,0.5327301
0.1255951,1.0620607,10.056939,0.9936676,0.5147095,0.72502136
-6.246755,-1.2792243,9.225804,0.39338684,1.0707855,0.5886688
-1.8001741,-0.08604634,14.999193,0.21176147,-0.50209045,-0.5240021
1.7890592,-2.3702776,11.854237,-1.8553925,0.10244751,-0.5149536
0.6633745,-3.9279008,14.022876,-3.3526154,-0.5782471,-0.710968
3.0264637,-2.2047963,15.2787695,-3.4282532,0.91578674,-1.0885925
-3.6945126,-1.8906544,13.274012,-2.1296844,-1.6552277,-2.4366913
0.68879306,0.34427822,5.0865774,-3.85701,-3.7601929,-2.0228271
2.1109493,1.9939332,2.4856048,-2.3715057,-1.9535065,-0.6529083
0.91041195,0.66524845,5.2738543,-0.99464417,-0.9660034,-0.04676819
0.611725,1.4353515,3.649624,0.7955322,-0.8722687,0.32713318
2.3566375,3.719976,4.191465,2.414734,-0.27731323,0.51249695
1.6216137,9.287151,8.535595,2.973999,-0.4866333,0.93273926
7.1481605,11.227131,24.586657,-0.54563904,0.6009979,-0.78019714
4.9466677,-8.279981,1.5716993,-0.020996094,0.7618561,0.87628174
-7.9621906,-8.4808,14.961315,0.75398254,0.86572266,0.27388
2.0796032,0.6580242,8.264583,1.7313538,1.2934265,-0.38978577
0.7587984,-1.1051929,5.645833,2.799286,2.2201996,0.14285278
-0.25270566,-1.2382783,9.899374,1.844284,0.8502655,0.4453888
-0.52467155,0.5055338,9.590181,0.87275696,1.0366974,0.1327362
-1.4540471,-1.0702531,8.886056,1.1166992,0.55358887,0.18333435
-0.31746536,-1.4722934,10.545861,1.1492004,0.24732971,0.54551697
-0.36950335,0.6338191,9.794615,1.0341492,0.43695068,0.6365967
-3.8025923,0.5958123,10.16375,0.6075134,1.016449,0.47894287
-4.578841,-0.74511915,13.972031,0.30230713,-0.4365692,-4.27E-04
-1.515363,-2.9810386,12.450572,-1.5230255,-0.66134644,-0.5873871
3.383368,-4.230373,14.550352,-3.3371735,-0.79663086,-0.8451843
4.043314,-2.446522,12.788085,-3.0665894,1.5245819,-1.22229
-5.7103825,-4.1897783,10.97552,-1.9597778,-0.51379395,-1.716568
-0.12959236,1.8397548,6.817168,-4.4402466,-4.2976227,-1.7746277
3.605691,-0.099440694,5.3066397,-2.6218414,-1.482132,-0.39404297
0.8395541,0.8539659,5.8938103,-1.0772095,-0.72099304,-0.14051819
1.4467018,1.4014106,3.2871804,0.64479065,-0.5787811,0.1481781
2.1068323,3.3764317,2.9883666,2.5169983,-0.4397583,0.5753479
