accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-1.1928086,1.5407821,9.203972,-1.2701569,-1.2073364,-0.42518616
-1.7196646,0.65988046,7.628724,-0.9143524,1.1138763,-0.30854797
0.3028394,-1.2723236,10.521785,-1.289856,1.0712738,-0.92108154
0.49720287,5.684884,12.142735,-0.6986389,-0.28268433,-0.8401184
-4.732461,4.8999,10.694574,0.45451355,0.039031982,-0.113601685
-3.8888476,2.8779123,13.740728,0.43373108,-4.5719604,0.9207611
-7.160289,-3.084676,17.316914,1.2236328,-3.0694122,0.68800354
8.602217,-8.923736,21.087242,3.9863892,0.75701904,1.1753693
1.8451755,-6.352272,9.226642,2.039627,-4.3136444,-0.34423828
-2.5182827,2.7902882,8.531605,1.3152466,-0.27043152,1.0917358
-1.8132541,-0.7943277,4.5862226,1.4579926,-5.2665253,2.3588715
-1.5367191,-1.7038615,0.86777925,0.5194855,-3.5056458,-0.09442139
0.46499085,-3.3706267,-1.4570495,-1.193985,-1.4342346,-0.14929199
18.421894,10.888866,5.2638254,-2.543686,1.377533,0.72795105
5.5080776,2.2172298,37.789165,0.24945068,-0.9537964,1.3213043
-2.5429862,-7.9273443,3.289166,1.5666504,-4.264633,-2.4401398
-0.95271367,0.47020203,6.746445,-0.20115662,2.8417358,-0.6611481
-2.489831,-1.6381668,11.99836,-1.4102325,7.621582,-0.9556885
-3.932554,0.7378015,21.11313,-1.4922638,5.488922,-1.9591675
-0.94343555,0.7597331,7.9655204,-1.7564545,1.5809937,-0.14503479
1.4895297,1.0107971,6.5023775,-1.8816223,2.0822144,-0.39216614
-1.083329,0.614777,8.018966,-1.0112915,0.43104553,-0.4752655
-1.7558551,0.7995961,8.873097,-0.8323364,0.7953644,-0.3383789
-1.5564903,-0.13088734,7.945118,-1.0246124,1.9293365,-0.6776581
3.8510303,2.194627,11.946368,-1.4698944,1.347168,-0.6755371
-2.2099571,3.7804227,11.46524,-0.446167,-0.5298157,-0.79377747
-1.7502699,10.250248,14.936868,0.14823914,0.7687378,1.3798981
-5.1639595,0.62977314,13.0598545,1.0324097,-4.1538544,0.74713135
-7.831658,-4.177432,19.742386,2.4279175,-2.5916443,0.83395386
7.8782554,-4.55946,17.224936,3.8367157,1.4137573,1.0805511
-4.258601,-5.7843,8.719653,1.1181641,-1.9588776,0.50798035
-4.9355416,1.2595521,7.7501507,1.5224304,-2.125595,2.6294556
-2.9978557,-0.40001816,0.9556353,1.2891388,-6.1762543,2.1058807
-1.9335675,-3.8872247,1.8887241,-0.65122986,-2.8052216,-0.30641174
1.2555423,-5.139566,-1.0805036,-1.4283447,-0.99534607,-0.2089386
24.592485,19.703087,11.796027,-1.9023895,1.8451843,-0.6345215
7.3697042,0.72566843,30.470669,0.13493347,-1.7277069,2.4648743
-8.310013,-0.6895685,-1.23391,1.6518707,-2.1016235,-2.4529266
3.7702258,-4.1336327,10.040175,-0.23524475,2.4055176,-2.0870056
-6.4872375,-5.626445,11.532764,-1.9476624,7.748886,-1.5304108
-4.0349474,-0.13960037,18.36713,-1.1066437,5.0649414,-1.1282654
-0.39151525,2.4647038,6.828681,-1.5460663,2.162094,-0.2680664
-1.0200894,1.0238187,8.038639,-1.3750763,0.6094818,-0.5141449
-1.0492392,1.2206839,8.430679,-1.3191528,-0.61824036,-0.3346405
-1.3656175,0.21156752,8.0694275,-0.58039856,1.0563507,-0.28936768
-1.2152306,-1.2694714,7.293695,-1.1673584,1.6960449,-0.67393494
3.2860436,3.993403,13.713525,-1.7484589,0.53544617,-1.1117554
-5.2439294,4.3777013,9.813139,0.6377411,0.036895752,-0.4076233
-3.55918,10.659135,16.94223,-0.28797913,-0.9926758,1.0209045
-7.2420435,-2.2189407,12.990164,0.9860687,-4.114441,0.6363373
-4.865647,-9.135523,21.409918,3.1794586,0.028915405,1.2126465
2.8161263,-7.6778316,12.227901,3.0878448,-4.1916656,0.18786621
-2.3087454,-1.3604221,8.116848,1.0020599,-0.55752563,-0.17645264
-3.33464,-1.0559028,7.4982452,1.4073944,-2.8803253,3.0726013
-3.3153825,-0.23384297,0.80581415,2.0140533,-5.294754,1.0326233
-1.9283208,-2.8945298,0.4802561,-0.93032837,-2.685913,-0.22225952
2.3844292,-3.0737643,-1.1111768,-2.0270233,-0.49786377,0.40411377
20.148754,12.311973,17.316244,-0.5857239,1.5943146,0.2144928
11.770531,-1.7838421,17.188562,0.73573303,-2.634781,0.44352722
-2.8918567,-8.911761,7.8308873,0.71229553,0.6068115,-1.9506531
-8.570827,-3.7446704,6.2680106,-0.9542999,5.7994537,-0.17219543
