accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.6811764,-0.5593203,1.3502613,0.5122986,-1.7178955,0.20326233
12.070512,8.628315,13.675478,1.4779663,-1.7791443,1.0368347
13.341388,1.0442123,21.398151,-1.4184875,0.10797119,-0.67344666
-0.8952322,-3.0330923,11.266198,-0.9268646,-0.08164978,-0.36026
-0.7451058,0.85084057,17.47352,0.5144348,1.5934753,0.544693
0.33786324,-3.5379748,3.994799,1.5956726,0.8722992,0.2240448
2.0481858,1.6390216,11.692787,2.6811829,1.2584534,1.3409729
-2.196981,0.68920535,4.1970205,2.000473,1.9146576,0.71513367
1.1996225,0.36096954,8.411937,1.53656,0.89253235,1.4427032
-0.88296187,4.9940734,8.989689,1.030014,1.0523224,1.0277863
1.231211,1.0994004,10.192172,0.8366699,1.2989349,1.2168732
0.72185886,8.25799,12.907932,0.675827,1.0672302,0.8749237
1.5896755,6.9610643,11.593884,0.14425659,0.3790741,0.065322876
-2.8975275,2.7792323,10.036799,-0.4043579,-0.027328491,-0.82577515
-2.1920495,0.31822586,16.495049,-1.059494,-0.6052246,-1.8393707
1.0849844,-1.7771561,16.207167,-1.2837372,0.19265747,-2.0923767
2.168609,1.3851599,10.619353,-1.6587067,0.49519348,-1.7232666
-0.39069313,0.8580997,6.79436,-2.1066437,-1.070221,-1.7605438
-0.18680806,-0.8846649,4.1376905,-1.9260864,-2.0087128,-1.1453552
-1.2682376,0.004168436,1.6107428,-0.9907837,-2.8524017,-0.6718445
0.33255276,0.81064177,3.7782488,0.29232788,-2.6196442,0.28582764
9.5346,3.827756,9.460589,1.3378754,-1.9128418,0.55799866
11.074368,8.747387,20.255669,-0.93325806,-0.8267975,-0.296875
5.89122,0.23158711,4.7974443,-0.7638855,-0.13224792,-0.522171
-4.464641,-4.4130793,23.228937,0.9884796,1.4597931,0.6458893
2.5759945,-2.2718806,4.8814216,1.1988678,0.31782532,-0.37409973
-2.9159687,-3.957865,7.265081,2.541626,2.1383667,1.1699982
-1.8401932,5.037503,8.620753,2.1160583,1.6280975,0.75613403
